3330,MarketStatusChange,0,1,[1,{0,1110491,1569891667220498026,1,0,0,1,,,,0,1,,}]
3600,MarketStatusChange,0,1,[1,{0,1110491,1569904200002117461,2,0,0,1,,,,3,1,,}]
3940,MarketStatusChange,0,1,[1,{0,1110491,1569906900005908181,3,0,0,1,4,,,1,1,,}]
46265,MarketStatusChange,0,1,[1,{0,1110491,1569913218178966266,4,0,3,1,4,,,1,1,,}]
46282,MarketStatusChange,0,1,[1,{0,1110491,1569913218178966266,5,0,0,2,4,,,1,1,,}]
5989193,MarketStatusChange,0,1,[1,{0,1110491,1569943800004867020,3,0,0,3,4,,,1,1,,}]
6066196,MarketStatusChange,0,1,[1,{0,1110491,1569944108245253980,4,0,3,3,4,,,1,1,,}]
6066246,MarketStatusChange,0,1,[1,{0,1110491,1569944108245253980,5,0,2,2,4,,,1,1,,}]
6085642,MarketStatusChange,0,1,[1,{0,1110491,1569944400005826254,2,0,0,3,,,,3,1,,}]
6086370,MarketStatusChange,0,1,[1,{0,1110491,1569945600006538133,1,0,0,3,,,,0,1,,}]
