event_time_ns,event_time_utc,event_time_local,md_seq,rebroadcast,emm,no_changes,md_change_type_raw,md_change_type,symbol_index,book_state_raw,book_state,status_reason_raw,status_reason,phase_qualifier_raw,phase_qualifier,trading_period_raw,trading_period,trading_side_raw,trading_side,order_entry_qualifier_raw,order_entry_qualifier,session,scheduled_event_raw,scheduled_event,scheduled_event_time_local
1569891667220498026,2019-10-01 01:01:07.220498026+00:00,2019-10-01 03:01:07.220498026+02:00,3330,0,1,1,0,Status Change(s)（状态变化）,1110491,1,Inaccessible（不可访问）,0,Scheduled（按计划）,0,No Qualifier（无）,1,Opening（开盘段）,,,0,Disabled（禁止下单/撤单/改单）,1,,,
1569904200002117461,2019-10-01 04:30:00.002117461+00:00,2019-10-01 06:30:00.002117461+02:00,3600,0,1,1,0,Status Change(s)（状态变化）,1110491,2,Closed（关闭）,0,Scheduled（按计划）,0,No Qualifier（无）,1,Opening（开盘段）,,,3,Cancel Only（只允许撤单）,1,,,
1569906900005908181,2019-10-01 05:15:00.005908181+00:00,2019-10-01 07:15:00.005908181+02:00,3940,0,1,1,0,Status Change(s)（状态变化）,1110491,3,Call（集合竞价/叫价阶段）,0,Scheduled（按计划）,0,No Qualifier（无）,1,Opening（开盘段）,4.0,Both Sides（双边）,1,Enabled（允许下单/撤单/改单）,1,,,
1569913218178966266,2019-10-01 07:00:18.178966266+00:00,2019-10-01 09:00:18.178966266+02:00,46265,0,1,1,0,Status Change(s)（状态变化）,1110491,4,Uncrossing（撮合/解交叉）,0,Scheduled（按计划）,3,Random Uncrossing（随机撮合）,1,Opening（开盘段）,4.0,Both Sides（双边）,1,Enabled（允许下单/撤单/改单）,1,,,
1569913218178966266,2019-10-01 07:00:18.178966266+00:00,2019-10-01 09:00:18.178966266+02:00,46282,0,1,1,0,Status Change(s)（状态变化）,1110491,5,Continuous（连续交易）,0,Scheduled（按计划）,0,No Qualifier（无）,2,Standard（盘中）,4.0,Both Sides（双边）,1,Enabled（允许下单/撤单/改单）,1,,,
1569943800004867020,2019-10-01 15:30:00.004867020+00:00,2019-10-01 17:30:00.004867020+02:00,5989193,0,1,1,0,Status Change(s)（状态变化）,1110491,3,Call（集合竞价/叫价阶段）,0,Scheduled（按计划）,0,No Qualifier（无）,3,Closing（收盘段）,4.0,Both Sides（双边）,1,Enabled（允许下单/撤单/改单）,1,,,
1569944108245253980,2019-10-01 15:35:08.245253980+00:00,2019-10-01 17:35:08.245253980+02:00,6066196,0,1,1,0,Status Change(s)（状态变化）,1110491,4,Uncrossing（撮合/解交叉）,0,Scheduled（按计划）,3,Random Uncrossing（随机撮合）,3,Closing（收盘段）,4.0,Both Sides（双边）,1,Enabled（允许下单/撤单/改单）,1,,,
1569944108245253980,2019-10-01 15:35:08.245253980+00:00,2019-10-01 17:35:08.245253980+02:00,6066246,0,1,1,0,Status Change(s)（状态变化）,1110491,5,Continuous（连续交易）,0,Scheduled（按计划）,2,Trading At Last,2,Standard（盘中）,4.0,Both Sides（双边）,1,Enabled（允许下单/撤单/改单）,1,,,
1569944400005826254,2019-10-01 15:40:00.005826254+00:00,2019-10-01 17:40:00.005826254+02:00,6085642,0,1,1,0,Status Change(s)（状态变化）,1110491,2,Closed（关闭）,0,Scheduled（按计划）,0,No Qualifier（无）,3,Closing（收盘段）,,,3,Cancel Only（只允许撤单）,1,,,
1569945600006538133,2019-10-01 16:00:00.006538133+00:00,2019-10-01 18:00:00.006538133+02:00,6086370,0,1,1,0,Status Change(s)（状态变化）,1110491,1,Inaccessible（不可访问）,0,Scheduled（按计划）,0,No Qualifier（无）,3,Closing（收盘段）,,,0,Disabled（禁止下单/撤单/改单）,1,,,
